Expense Clustering Analysis
==========================

     Category  Amount  Cluster
    Education  103.46        1
Entertainment  450.52        0
    Transport  290.66        2
    Transport  398.18        0
Miscellaneous  490.59        0
Entertainment  455.10        0
Miscellaneous  135.07        1
     Shopping  231.88        2
Miscellaneous  431.11        0
Entertainment  264.68        2
     Shopping  340.87        0
         Food  258.48        2
       Health  131.03        1
         Food  204.59        2
Miscellaneous  371.39        0
Entertainment  192.20        2
Miscellaneous   40.48        1
    Transport  148.63        1
     Shopping   91.71        1
Miscellaneous  117.46        1
         Food  349.57        0
        Bills  307.82        2
         Food   45.41        1
    Transport  365.76        0
       Health  324.56        2
     Shopping   70.86        1
Miscellaneous    5.19        1
    Education  458.34        0
    Education  135.39        1
     Shopping  153.20        1
Miscellaneous  246.32        2
     Shopping    6.60        1
       Health   50.86        1
    Transport  317.88        2
        Bills  429.02        0
       Health  282.76        2
    Education  111.89        1
    Transport  255.81        2
       Health  420.76        0
Entertainment  257.96        2
        Bills  181.60        2
       Health  480.84        0
    Transport  300.86        2
Entertainment   87.41        1
     Shopping  478.62        0
       Health   96.85        1
       Health  330.80        2
    Transport  477.03        0
         Food  245.33        2
        Bills   56.77        1
        Bills   80.64        1
Entertainment   78.97        1
         Food  450.49        0
    Education  252.33        2
     Shopping  267.76        2
        Bills  222.05        2
        Bills  201.09        2
    Education  203.20        2
       Health  114.20        1
Entertainment  131.08        1
       Health  105.22        1
        Bills  263.32        2
Miscellaneous  279.99        2
    Education   52.82        1
       Health  149.72        1
Entertainment  199.41        2
    Transport  169.34        1
        Bills   29.68        1
     Shopping   81.95        1
     Shopping  370.65        0
Miscellaneous  262.65        2
       Health  188.51        2
     Shopping  365.95        0
Miscellaneous   65.67        1
    Transport    7.21        1
    Education  145.71        1
       Health  251.09        2
        Bills  288.84        2
        Bills  456.43        0
       Health   32.02        1
Entertainment  152.18        1
       Health  397.15        0
     Shopping  112.00        1
     Shopping  408.70        0
Miscellaneous  177.07        2
Miscellaneous  214.81        2
Entertainment   40.64        1
    Education  278.93        2
    Education  213.29        2
       Health   19.75        1
Miscellaneous  142.62        1
       Health  327.19        2
         Food   39.33        1
         Food  371.24        0
Entertainment  154.16        1
Miscellaneous  289.40        2
    Education  242.24        2
Entertainment  296.64        2
     Shopping  416.88        0
    Transport  435.95        0
     Shopping  181.22        2
        Bills  347.74        0
         Food  303.01        2
    Education   86.19        1
        Bills  147.75        1
        Bills  369.59        0
         Food   88.52        1
        Bills  377.43        0
     Shopping  128.35        1
        Bills   23.37        1
     Shopping  246.03        2
    Transport  489.69        0
         Food   42.59        1
Miscellaneous   22.21        1
        Bills  266.06        2
         Food  324.61        2
Miscellaneous  421.19        0
         Food  354.87        0
        Bills  270.95        2
    Transport  455.37        0
       Health  396.85        0
    Education  272.14        2
    Education  464.42        0
        Bills  236.76        2
    Education  459.60        0
Entertainment  467.44        0
    Education  143.53        1
         Food  422.67        0
    Transport   41.53        1
       Health  199.82        2
Miscellaneous  163.01        1
    Education  319.19        2
    Transport  460.98        0
         Food   95.31        1
       Health   47.69        1
        Bills  265.10        2
Entertainment    6.62        1
    Education  194.01        2
    Transport  223.70        2
Entertainment  397.84        0
         Food  173.64        2
    Transport  219.30        2
     Shopping  340.59        0
Miscellaneous  444.44        0
         Food  159.52        1
    Education   66.02        1
Entertainment  114.81        1
         Food   34.71        1
Miscellaneous  303.10        2
       Health  432.63        0
       Health   82.23        1
         Food   64.87        1
     Shopping  364.50        0
        Bills  443.39        0
        Bills  487.70        0
     Shopping  497.17        0
       Health  417.83        0
Miscellaneous  460.73        0
    Transport  236.74        2
       Health  110.16        1
        Bills   41.07        1
    Transport  154.32        1
        Bills  424.23        0
    Transport  438.09        0
    Transport  491.56        0
Entertainment  316.13        2
    Education  345.02        0
         Food  421.61        0
        Bills  353.27        0
    Education  223.86        2
       Health  258.81        2

Analysis Complete! Data saved to output.txt
